Datum 1  registrace,Datum 1  registrace v ČR,ZTP,ES EU,Druh vozidla,Druh vozidla 2  ř ,Kategorie vozidla,Tovární značka,Typ,Varianta,Verze,VIN,Obchodní označení,Výrobce vozidla,Výrobce motoru,Typ motoru,Max  výkon  kW     min⁻¹ ,Palivo,Zdvihový objem  cm³ ,Plně elektrické vozidlo,Hybridní vozidlo,Třída hybridního vozidla,Emisní limit  EHKOSN EHSES ,Stupeň plnění emisní úrovně,Korigovaný součinitel absorbce  m⁻¹ ,CO2 město  mimo město kombinované  g km-1 ,Specifické CO2,Snížení emisí – NEDC,Snížení emisí – WLTP,Spotřeba předpis,Spotřeba město  mimo město kombinovaná  l 100km⁻¹ ,Spotřeba při rychlosti  l 100 km⁻¹ ,Spotřeba el  mobil  Wh km  – Z,Dojezd ZR  km ,Výrobce karoserie,Druh (typ),Výrobní číslo karoserie,Barva,Barva doplňková,Počet míst celkem   k sezení   k stání,Celková délka šířka výška  mm ,Rozvor  mm ,Rozchod  mm ,Provozní hmotnost,Největší technicky přípustná povolená hmotnost  kg ,Největší technicky přípustná povolená hmotnost na nápravu  kg ,Největší technicky přípustná povolená hmotnost přípojného vozidla  kg  brzděného,Největší technicky přípustná povolená hmotnost přípojného vozidla  kg  nebrzděného,Největší technicky přípustná povolená hmotnost jízdní soupravy  kg ,Hmotnosti vozidla při testu WLTP,Průměrná hodnota užitečného zatížení,Spojovací zařízení - druh,Počet náprav - z toho poháněných,Kola a pneumatiky na nápravě - rozměry montáž  N 1; N 2; N 3; N 4 ,Vnější hluk vozidla  dB(A)  - stojícího při ot   min⁻¹ ,Za jízdy,Nejvyšší rychlost  km h⁻¹ ,Poměr Výkon Hmotnost  kW kg⁻¹ ,Inovativní technologie,Stupeň dokončení,Faktor odchylky - DE,Faktor verifikace - Vf,Účel vozidla,Další záznamy,Alternativní provedení,Číslo TP,Číslo ORV,Druh RZ,Zařazení vozidla,Status,PČV,ABS,Airbag,ASR,Brzdy nouzová,Brzdy odlehčovací,Brzdy parkovací,Brzdy provozní,Doplňkový text na TP,Hmotnosti provozní Do,Hmotnosti zatížení SZ,Hmotnosti zatížení SZ typ,Hydropohon,Objem cisterny,Zatížení střechy,Číslo motoru,Nejvyšší rychlost omezení,Ovládání brzd SZ,Ovládání brzd SZ druh,Retarder,Rok výroby,Délka do,Ložná délka,Ložná šířka,Výška do,Typ kód,RM zániku,Stupeň autonomity vozidla
02.04.1980,02.04.1980,0553-001-00,,MOTOCYKL,.,L3,JAWA,"JAWA 50-20 PIONÝR /",,,1624579,50-20 PIONÝR,"POVÁŽSKÉ STROJÁRNE, A.S., POVÁŽSKÁ BYSTRICA, SLOVENSKO","POVÁŽSKÉ STROJÁRNE, A.S., POVÁŽSKÁ BYSTRICA, SLOVENSKO",JAWA 20,"2 / 6700",BA 90,"50",NE,NE,, / ,,"0", /  / ,,,,"","0 / 0 / 0","",,,"POVÁŽSKÉ STROJÁRNE, A.S., POVÁŽSKÁ BYSTRICA, SLOVENSKO",.,1624579,ČERVENÁ-ZÁKLADNÍ,,2 / 2 / 0,1780/ 570/ 930,1210,/ / / ,70,230/ 230,62/ 62|168/ 168|/ |/ |,0/ 0,60/ 60,0/ 0,,,.,2/ -1 ZADNÍ,"2.75-16/ 1.50 A X 2|2.75-16/ 1.50 A X 2|/ |/ |","0/ 0",0,65,0,,,,,,"",,AP251723,AAK070495,MALÝ MOTOCYKL,RSV,PROVOZOVANÉ,1318342,,,,True,False,False,True,"",,,,,0,0,1624579,,,,,1980,,0,0,,,,Neuvedeno
04.03.1980,04.03.1980,0556-001-01,,MOTOCYKL,,L1e,JAWA,"JAWA 50-20 PIONÝR /",,,1637045,50-23 MUSTANG,"POVÁŽSKÉ STROJÁRNE","POVÁŽSKÉ STROJÁRNE",JAWA 23,"3.5 / 6700",BA SMĚS,"49,9",NE,NE,, / ,Neuvedeno,"", /  / ,,,,"","/  /","",,,"POVÁŽSKÉ STROJÁRNE",RÁM,,MODRÁ,,2 / 2 / 0,1800/ 585/ 940,1210,/ / / ,70,230/ 230,62/ 62|168/ 168|/ |/ |,/ ,60/ 60,/ ,,,,2/ -1 ZADNÍ,"2.27-16 / 1.50 A X 2 |2.27-16 / 1.50 A X 2 |/ |/ |","/",,65,0,05,,,,,Běžný provoz,"",,,UBI004067,STD. SILNIČNÍ,RSV,PROVOZOVANÉ,1318343,,,,True,False,False,True,"",,,,,,0,1637045,,,,,1980,,,,,,,Neuvedeno
01.01.1985,08.11.1993,1046-001-84,,OSOBNÍ AUTOMOBIL,SEDAN,M1,ŠKODA,"ŠKODA 105 L TMB10M00L / TMB10M00L",L,,L5830841,105,"AZNP, MLADÁ BOLESLAV, ČESKÁ REPUBLIKA","AZNP, MLADÁ BOLESLAV, ČESKÁ REPUBLIKA",742.10 M II,"33 / 4800",BA 90,"1046",NE,NE,, / ,,"0", /  / ,,,,"ČSN","8.4 / 6.3 / 9.1","",,,"AZNP, MLADÁ BOLESLAV, ČESKÁ REPUBLIKA",SEDAN,L5830841,MODROZEL-ZÁKLADNÍ,,5 / 5 / 0,4200/ 1610/ 1400,2400,/ / / ,875,1275/ 1275,540/ 540|735/ 735|/ |/ |,600/ 600,400/ 400,0/ 0,,,.,2/ -1 ZADNÍ,"165 R 13/ 4.5J X 13|165 R 13/ 4.5J X 13|/ |/ |","0/ 0",0,130,0,,,,,,"",,AH774674,AAD970857,OSOBNÍ,RSV,ZÁNIK,1318344,False,,False,True,False,True,True,"",,,,,0,50,349043/1,,,,,1985,,0,0,,TMB10M00L,ZLÍN,Neuvedeno
15.08.1985,15.08.1985,1046-001-84,,OSOBNÍ AUTOMOBIL,SEDAN,M1,ŠKODA,"ŠKODA 105 L TMB10M00L / TMB10M00L",L,,TMB10M00LF3153127,105,"AZNP, MLADÁ BOLESLAV, ČESKÁ REPUBLIKA","AZNP, MLADÁ BOLESLAV, ČESKÁ REPUBLIKA",742.10 M II,"33 / 4800",BA 90,"1046",NE,NE,, / ,,"0", /  / ,,,,"ČSN","8.4 / 6.3 / 9.1","",,,"AZNP, MLADÁ BOLESLAV, ČESKÁ REPUBLIKA",SEDAN,TMB10M00LF3153127,ZELENÁ-SVĚTLÁ,,5 / 5 / 0,4200/ 1610/ 1400,2400,/ / / ,875,1275/ 1275,540/ 540|735/ 735|/ |/ |,600/ 600,400/ 400,0/ 0,,,.,2/ -1 ZADNÍ,"165 R 13/ 4.5J X 13|165 R 13/ 4.5J X 13|/ |/ |","0/ 0",0,130,0,,,,,,"",,AH747367,BAA616123,OSOBNÍ,RSV,ZÁNIK,1318345,False,,False,True,False,True,True,"",,,,,0,50,315725/1,,,,,1985,,0,0,,TMB10M00L,KOPŘIVNICE,Neuvedeno
01.01.1971,15.02.1989,571-003-67,,Traktor kolový,.,.,.,"ZETOR 5645 /",,,28450,.,".",".",Z 5501,"0 / 0",NM,"3120",NE,NE,, / ,,"0", /  / ,,,,"","0 / 0 / 0","",,,".",.,28450,ČERVENÁ-ZÁKLADNÍ,,2 / 2 / 0,0/ 0/ 0,0,/ / / ,3545,3545/ 3545,0/ 0|/ |/ |/ |,0/ 0,0/ 0,0/ 0,,,.,2/ .,"/ |/ |/ |/ |","0/ 0",0,0,0,,,,,,"",,AC529211,ZAA108823,TRAKTOR,RSV,PROVOZOVANÉ,1318346,,,,False,False,False,False,"",,,,,0,0,30075,,,,,1971,,0,0,,,,Neuvedeno
31.08.1972,31.08.1972,0553-001-00,,MOTOCYKL,,L3,JAWA,"JAWA 50-20 PIONÝR /",,,1054416,50-20 PIONÝR,"POVÁŽSKÉ STROJÁRNE, A.S., POVÁŽSKÁ BYSTRICA, SLOVENSKO","POVÁŽSKÉ STROJÁRNE, A.S., POVÁŽSKÁ BYSTRICA, SLOVENSKO",JAWA 20,"2 / 6700",BA,"50",NE,NE,, / ,Neuvedeno,"0", /  / ,,,,"","0 / 0 / 0","",,,"POVÁŽSKÉ STROJÁRNE, A.S., POVÁŽSKÁ BYSTRICA, SLOVENSKO",RÁM,1054416,FIALOVÁ-ZÁKLADNÍ,HNĚDÁ-SVĚTLÁ,2 / 2 / 0,1780/ 570/ 930,1210,/ / / ,70,230/ 230,62/ 62|168/ 168|/ |/ |,0/ 0,60/ 60,0/ 0,,,.,2/ -1 ZADNÍ,"2.75-16/ 1.50 A X 2|2.75-16/ 1.50 A X 2|/ |/ |","0/ 0",0,65,0,029,,,,,,"",,RA05593,RA05593,MALÝ MOTOCYKL,RSV,ZÁNIK,1318347,,,,True,False,False,True,"",,,,,,0,1054416,,,,,1972,,0,0,,,RAKOVNÍK,Neuvedeno
14.04.1980,14.04.1980,0553-001-00,,MOTOCYKL,.,L3,JAWA,"JAWA 50-20 PIONÝR /",,,1644635,50-20 PIONÝR,"POVÁŽSKÉ STROJÁRNE, A.S., POVÁŽSKÁ BYSTRICA, SLOVENSKO","POVÁŽSKÉ STROJÁRNE, A.S., POVÁŽSKÁ BYSTRICA, SLOVENSKO",JAWA 20,"2 / 6700",BA 90,"50",NE,NE,, / ,,"0", /  / ,,,,"","0 / 0 / 0","",,,"POVÁŽSKÉ STROJÁRNE, A.S., POVÁŽSKÁ BYSTRICA, SLOVENSKO",.,1644635,NEZJIŠTĚNO,,2 / 2 / 0,1780/ 570/ 930,1210,/ / / ,70,230/ 230,62/ 62|168/ 168|/ |/ |,0/ 0,60/ 60,0/ 0,,,.,2/ -1 ZADNÍ,"2.75-16/ 1.50 A X 2|2.75-16/ 1.50 A X 2|/ |/ |","0/ 0",0,65,0,,,,,,"",,,,MALÝ MOTOCYKL,RSV,ZÁNIK,1318348,,,,True,False,False,True,"",,,,,0,0,1644635,,,,,1980,,0,0,,,DOMAŽLICE,Neuvedeno
01.01.1973,23.12.1982,0553-001-00,,MOTOCYKL,.,L3,JAWA,"JAWA 50-20 PIONÝR /",,,1144877,50-20 PIONÝR,"POVÁŽSKÉ STROJÁRNE, A.S., POVÁŽSKÁ BYSTRICA, SLOVENSKO","POVÁŽSKÉ STROJÁRNE, A.S., POVÁŽSKÁ BYSTRICA, SLOVENSKO",JAWA 20,"2 / 6700",BA 90,"50",NE,NE,, / ,,"0", /  / ,,,,"","0 / 0 / 0","",,,"POVÁŽSKÉ STROJÁRNE, A.S., POVÁŽSKÁ BYSTRICA, SLOVENSKO",.,1144877,ČERVENÁ-TMAVÁ,BÍLÁ,2 / 2 / 0,1780/ 570/ 930,1210,/ / / ,70,230/ 230,62/ 62|168/ 168|/ |/ |,0/ 0,60/ 60,0/ 0,,,.,2/ -1 ZADNÍ,"2.75-16/ 1.50 A X 2|2.75-16/ 1.50 A X 2|/ |/ |","0/ 0",0,65,0,,,,,,"",,,,MOTOCYKL,RSV,ZÁNIK,1318349,,,,True,False,False,True,"",,,,,0,0,1144877,,,,,1973,,0,0,,,RAKOVNÍK,Neuvedeno
01.01.1960,10.05.1971,0553-001-00,,MOTOCYKL,.,L3,JAWA,"JAWA 50-20 PIONÝR /",,,331473,50-20 PIONÝR,"POVÁŽSKÉ STROJÁRNE, A.S., POVÁŽSKÁ BYSTRICA, SLOVENSKO","POVÁŽSKÉ STROJÁRNE, A.S., POVÁŽSKÁ BYSTRICA, SLOVENSKO",JAWA 20,"2 / 6700",BA 90,"50",NE,NE,, / ,,"0", /  / ,,,,"","0 / 0 / 0","",,,"POVÁŽSKÉ STROJÁRNE, A.S., POVÁŽSKÁ BYSTRICA, SLOVENSKO",.,331473,NEZJIŠTĚNO,,2 / 2 / 0,1780/ 570/ 930,1210,/ / / ,70,230/ 230,62/ 62|168/ 168|/ |/ |,0/ 0,60/ 60,0/ 0,,,.,2/ -1 ZADNÍ,"2.75-16/ 1.50 A X 2|2.75-16/ 1.50 A X 2|/ |/ |","0/ 0",0,65,0,,,,,,"",,,,MALÝ MOTOCYKL,RSV,ZÁNIK,1318350,,,,True,False,False,True,"",,,,,0,0,331473,,,,,1960,,0,0,,,KROMĚŘÍŽ,Neuvedeno
01.01.1980,05.03.1980,0553-001-00,,MOTOCYKL,.,L3,JAWA,"JAWA 50-23 PIONÝR /",,,1637184,50-23 PIONÝR,"POVÁŽSKÉ STROJÁRNE, A.S., POVÁŽSKÁ BYSTRICA, SLOVENSKO","POVÁŽSKÉ STROJÁRNE, A.S., POVÁŽSKÁ BYSTRICA, SLOVENSKO",JAWA 20,"2 / 6700",BA 90,"50",NE,NE,, / ,,"0", /  / ,,,,"","0 / 0 / 0","",,,"POVÁŽSKÉ STROJÁRNE, A.S., POVÁŽSKÁ BYSTRICA, SLOVENSKO",.,1637184,ORANŽOVÁ,,2 / 2 / 0,1780/ 570/ 930,1210,/ / / ,70,230/ 230,62/ 62|168/ 168|/ |/ |,0/ 0,60/ 60,0/ 0,,,.,2/ -1 ZADNÍ,"2.75-16/ 1.50 A X 2|2.75-16/ 1.50 A X 2|/ |/ |","0/ 0",0,65,0,,,,,,"",,UF528992,UAN627134,STD. SILNIČNÍ,RSV,PROVOZOVANÉ,1318351,False,,False,True,False,False,True,"",,,,,,0,1637184,,,,False,1980,,0,0,,,,Neuvedeno
16.09.1974,16.09.1974,0556-001-00,,MOTOCYKL,.,L3,JAWA,"JAWA 50-21 PIONÝR /",,,1212783,50-21 PIONÝR,"POVÁŽSKÉ STROJÁRNE, A.S., POVÁŽSKÁ BYSTRICA, SLOVENSKO","POVÁŽSKÉ STROJÁRNE, A.S., POVÁŽSKÁ BYSTRICA, SLOVENSKO",JAWA 21,"2 / 6700",BA 90,"50",NE,NE,, / ,,"0", /  / ,,,,"","0 / 0 / 0","",,,"POVÁŽSKÉ STROJÁRNE, A.S., POVÁŽSKÁ BYSTRICA, SLOVENSKO",.,1212783,MODRÁ-SVĚTLÁ,,2 / 2 / 0,1780/ 570/ 940,1210,/ / / ,70,230/ 230,62/ 62|168/ 168|/ |/ |,0/ 0,60/ 60,0/ 0,,,.,2/ -1 ZADNÍ,"2.75-16/ 1.50 A X 2|2.75-16/ 1.50 A X 2|/ |/ |","0/ 0",0,65,0,,,,,,"",,,,MOTOCYKL,RSV,ZÁNIK,1318352,,,,True,False,False,True,"",,,,,0,0,1212783,,,,,1974,,0,0,,,RAKOVNÍK,Neuvedeno
